book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,image_name
"A Time to Kill (Jake Brigance, #1)",https://www.goodreads.com/book/show/32542.A_Time_to_Kill,John Grisham,4.11,799568,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554303029i/32542._SY75_.jpg,cover_210.png
The Goldfinch,https://www.goodreads.com/book/show/17333223-the-goldfinch,Donna Tartt,3.94,918928,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146i/17333223._SY75_.jpg,cover_211.png
"The Last Olympian (Percy Jackson and the Olympians, #5)",https://www.goodreads.com/book/show/4556058-the-last-olympian,Rick Riordan,4.55,989789,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519022209i/4556058._SX50_.jpg,cover_212.png
The Night Circus,https://www.goodreads.com/book/show/9361589-the-night-circus,Erin Morgenstern,4.02,966367,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589._SY75_.jpg,cover_213.png
Wild: From Lost to Found on the Pacific Crest Trail,https://www.goodreads.com/book/show/12262741-wild,Cheryl Strayed,4.06,791867,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453189881i/12262741._SY75_.jpg,cover_214.png
How to Win Friends and Influence People,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People,Dale Carnegie,4.22,969327,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865._SX50_.jpg,cover_215.png
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,Carlos Ruiz Zafón,4.30,630492,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232._SY75_.jpg,cover_216.png
The Guernsey Literary and Potato Peel Pie Society,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,Mary Ann Shaffer,4.19,749313,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529026760i/39832183._SY75_.jpg,cover_217.png
Rebecca,https://www.goodreads.com/book/show/17899948-rebecca,Daphne du Maurier,4.24,623837,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948._SX50_.jpg,cover_218.png
"Red Queen (Red Queen, #1)",https://www.goodreads.com/book/show/22328546-red-queen,Victoria Aveyard,4.00,997172,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449778912i/22328546._SY75_.jpg,cover_219.png
The Five People You Meet in Heaven,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,3.99,716372,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431._SX50_.jpg,cover_220.png
Flowers for Algernon,https://www.goodreads.com/book/show/18373.Flowers_for_Algernon,Daniel Keyes,4.21,665517,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689071681i/18373._SY75_.jpg,cover_221.png
Fangirl,https://www.goodreads.com/book/show/16068905-fangirl,Rainbow Rowell,3.96,742778,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270i/16068905._SX50_.jpg,cover_222.png
"A Feast for Crows (A Song of Ice and Fire, #4)",https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,George R.R. Martin,4.16,727283,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661026821i/13497._SY75_.jpg,cover_223.png
A Clockwork Orange,https://www.goodreads.com/book/show/227463.A_Clockwork_Orange,Anthony Burgess,4.00,708642,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681066799i/227463._SY75_.jpg,cover_224.png
"The Hate U Give (The Hate U Give, #1)",https://www.goodreads.com/book/show/32075671-the-hate-u-give,Angie Thomas,4.48,889182,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476284759i/32075671._SY75_.jpg,cover_225.png
"The Lost Hero (The Heroes of Olympus, #1)",https://www.goodreads.com/book/show/7736182-the-lost-hero,Rick Riordan,4.31,837335,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201003i/7736182._SY75_.jpg,cover_226.png
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants,Ann Brashares,3.84,702904,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461611233i/452306._SY75_.jpg,cover_227.png
"The Lost Symbol (Robert Langdon, #3)",https://www.goodreads.com/book/show/6411961-the-lost-symbol,Dan Brown,3.75,606408,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534070883i/6411961._SY75_.jpg,cover_228.png
"Clockwork Angel (The Infernal Devices, #1)",https://www.goodreads.com/book/show/7171637-clockwork-angel,Cassandra Clare,4.31,826568,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693490271i/7171637._SY75_.jpg,cover_229.png
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://www.goodreads.com/book/show/12067.Good_Omens,Terry Pratchett,4.26,741745,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067._SY75_.jpg,cover_230.png
The Firm,https://www.goodreads.com/book/show/5358.The_Firm,John Grisham,4.06,622656,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418465200i/5358._SY75_.jpg,cover_231.png
The Red Tent,https://www.goodreads.com/book/show/4989.The_Red_Tent,Anita Diamant,4.20,596255,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989._SY75_.jpg,cover_232.png
